moon_id,name,planet,description,visited_by_men,planet_id
0,Moon,Earth,“month”,True,2
1,Phobos,Mars,Greek god of fear and panic,False,3
2,Deimos,Mars,Greek god of dread and terror,False,3
3,Io,Jupiter,"Ancestor to Perseus, Cadmus, Heracles, and Minos",False,4
4,Europa,Jupiter,Mother of king Minos of Crete,False,4
5,Ganymede,Jupiter,Male hero of Troy. Served as Zeus cup-bearer in Olympus,False,4
6,Callisto,Jupiter,One of the nymphs. Daughter of king Lycaon and one of Artemis followers,False,4
7,Amalthea,Jupiter,Foster-mother of Zeus,False,4
8,Himalia,Jupiter,"Nymph of the island of Rhodes. Had three sons with Zeus: Sparteus, Kronios and Kytos",False,4
9,Elara,Jupiter,"Mortal princess, daughter of king Orchomenus and mother of the giant Tytios.",False,4
10,Pasiphae,Jupiter,Queen of Crete. Daughter of Helios and mother of the minotaur.,False,4
11,Sinope,Jupiter,Daughter of Ares and one of the Amazons. It is believed the Turkish city of Sinop is named after her.,False,4
12,Lysithea,Jupiter,Mother of Heracles and Zeus. Daughter of the titan Oceanus.,False,4
13,Carme,Jupiter,"Mother of Britomartis, goddess of mountains and hunting",False,4
14,Ananke,Jupiter,Personification of necessity. It also means “constrain” or “force”.,False,4
15,Leda,Jupiter,Aetolian princess and later Spartan queen.,False,4
16,Thebe,Jupiter,Name used by a few of Zeus’ daughters. It is also the name of a city in central Greece.,False,4
17,Adrastea,Jupiter,Goddess of “inevitable fate”. Was in charge of nurturing and protecting Zeus.,False,4
18,Metis,Jupiter,First wife of Zeus and mother of Athena.,False,4
19,Callirrhoe,Jupiter,One of the Oceanids (daughters of the titan Oceanus),False,4
20,Themisto,Jupiter,Daughter of the river god Inachus.,False,4
21,Megaclite,Jupiter,Princess of the Locris region.,False,4
22,Taygete,Jupiter,"One of the Pleiades, daughter of the titan Atlas.",False,4
23,Chaldene,Jupiter,Mother of the hero Solymos.,False,4
24,Harpalyke,Jupiter,Princess of Arcadia.,False,4
25,Kalyke,Jupiter,Alternatively written as Calyce. Thessalian princess. It is also the name of one of the nymphs.,False,4
26,Iocaste,Jupiter,"Named after Jocasta, daughter of king Menoeceus and wife of Oedipus.",False,4
27,Erinome,Jupiter,"In her story, Venus compelled her to fall in love with Jupiter to ruin her.",False,4
28,Isonoe,Jupiter,One of the Danaides. Zeus turned her into a spring after her death.,False,4
29,Praxidike,Jupiter,Greek goddess of punishment.,False,4
30,Autonoe,Jupiter,Theban princess and eldest daughter of Cadmus.,False,4
31,Thyone,Jupiter,Also known as Semele. Youngest daughter of Cadmus.,False,4
32,Hermippe,Jupiter,Daughter of Boetus. Had a son with Poseidon.,False,4
33,Aitne,Jupiter,The personification of mount Etna,False,4
