star_id,name,brightness_apparent,stellar_classification,constellation,galaxy_id
0,Alpheratz,2.07,B9p,Andromeda,43
1,Mirach,2.07,M0IIIvar,Andromeda,43
2,γ1 And,2.1,K3IIb,Andromeda,43
3,δ And,3.27,K3III...,Andromeda,43
4,Andromeda Galaxy,,,Andromeda,43
5,51 And,3.59,K3III,Andromeda,43
6,ο And,3.62,B6pv SB,Andromeda,43
7,λ And,3.81,G8III-IV,Andromeda,43
8,μ And,3.86,A5V,Andromeda,43
9,ζ And,4.08,K1II,Andromeda,43
10,υ And,4.1,F8V,Andromeda,43
11,κ And,4.15,B9IVn,Andromeda,43
12,φ And,4.26,B7III,Andromeda,43
13,ι And,4.29,B8V,Andromeda,43
14,π And,4.34,B5V,Andromeda,43
15,ε And,4.34,G5III...,Andromeda,43
16,η And,4.4,G8III-IV,Andromeda,43
17,σ And,4.51,A2V,Andromeda,43
18,ν And,4.53,B5V SB,Andromeda,43
19,7 And,4.53,F0V,Andromeda,43
20,θ And,4.61,A2V,Andromeda,43
21,3 And,4.64,K0III,Andromeda,43
22,65 And,4.73,K4III,Andromeda,43
23,58 And,4.78,A5IV-V,Andromeda,43
24,8 And,4.82,M2III,Andromeda,43
25,ω And,4.83,F5IV,Andromeda,43
26,γ2 And,4.84,B8V,Andromeda,43
27,60 And,4.84,K4III,Andromeda,43
28,ξ And,4.87,K0III-IV,Andromeda,43
29,τ And,4.96,B8III,Andromeda,43
30,41 H. And,4.96,G2V,Andromeda,43
31,ψ And,4.97,G5Ib,Andromeda,43
32,22 And,5.01,F2II,Andromeda,43
33,χ And,5.01,G8III...,Andromeda,43
34,41 And,5.04,A3m,Andromeda,43
35,2 And,5.09,A3Vn,Andromeda,43
36,V428 And,5.14,K5III,Andromeda,43
37,ρ And,5.16,F5III,Andromeda,43
38,HD 2421,5.18,A2Vs,Andromeda,43
39,64 And,5.19,G8III,Andromeda,43
40,GN And,5.2,A7III,Andromeda,43
41,14 And,5.22,K0III,Andromeda,43
42,49 And,5.27,K0III,Andromeda,43
43,32 And,5.3,G8III,Andromeda,43
44,4 And,5.3,K5III,Andromeda,43
45,6 Per,5.31,G8III:var,Andromeda,43
46,62 And,5.31,A1V,Andromeda,43
47,18 And,5.35,B9V,Andromeda,43
48,55 And,5.42,K1III,Andromeda,43
49,11 And,5.44,K0III,Andromeda,43
50,unnamed50,5.45,G5III,Andromeda,43
51,36 And,5.46,K1IV,Andromeda,43
52,V340 And,5.55,A1III,Andromeda,43
53,PZ And,5.57,B9p Si,Andromeda,43
54,47 And,5.6,A1m,Andromeda,43
55,unnamed55,5.63,A9IV:,Andromeda,43
56,44 And,5.67,F8V,Andromeda,43
57,5 And,5.68,F5V,Andromeda,43
58,HD 5788,5.69,A2Vn,Andromeda,43
59,56 And,5.69,G8III...,Andromeda,43
60,23 And,5.71,F0IV,Andromeda,43
61,HD 16028,5.72,K4III,Andromeda,43
62,V388 And,5.75,B9III,Andromeda,43
63,12 And,5.77,F5V,Andromeda,43
64,unnamed64,5.79,K5III,Andromeda,43
65,45 And,5.8,B7III-IV,Andromeda,43
66,HD 14622,5.81,F0III-IV,Andromeda,43
67,10 And,5.81,M0III,Andromeda,43
68,HD 222109,5.81,B8V,Andromeda,43
69,HD 224635,5.81,F8,Andromeda,43
70,OU And,5.86,G1IIIe,Andromeda,43
71,unnamed71,5.88,A0IV,Andromeda,43
72,HD 2767,5.88,K1III...,Andromeda,43
73,HD 1606,5.89,B7V,Andromeda,43
74,unnamed74,5.89,K5III,Andromeda,43
75,KK And,5.9,B8Vp(Si),Andromeda,43
76,unnamed76,5.91,F5V,Andromeda,43
77,6 And,5.91,F5V,Andromeda,43
78,unnamed78,5.94,K0III,Andromeda,43
79,39 And,5.95,A5m,Andromeda,43
80,unnamed80,5.98,F7V,Andromeda,43
81,AN And,5.98,A7m,Andromeda,43
82,HD 5608,5.99,K0,Andromeda,43
83,unnamed83,6.01,G8Ib,Andromeda,43
84,unnamed84,6.01,F8III,Andromeda,43
85,unnamed85,6.03,B9.5IIIMNp.,Andromeda,43
86,unnamed86,6.05,F5V,Andromeda,43
87,HD 3883,6.06,A7m,Andromeda,43
88,V439 And,6.07,K0V,Andromeda,43
89,unnamed89,6.07,K3III:,Andromeda,43
90,unnamed90,6.07,G9III,Andromeda,43
91,HD 223229,6.08,B3IV,Andromeda,43
92,unnamed92,6.09,G2V,Andromeda,43
93,59 And A,6.09,B9V,Andromeda,43
94,26 And,6.1,B8V,Andromeda,43
95,unnamed95,6.1,K2III,Andromeda,43
96,HD 225218,6.11,B9III,Andromeda,43
97,unnamed97,6.11,K5,Andromeda,43
98,HD 1185,6.12,A2V,Andromeda,43
99,unnamed99,6.12,K0III,Andromeda,43
100,GO And,6.13,A0p...,Andromeda,43
101,unnamed101,6.13,M1III,Andromeda,43
102,66 And,6.16,F4V,Andromeda,43
103,unnamed103,6.17,B5V,Andromeda,43
104,unnamed104,6.18,K4III,Andromeda,43
105,unnamed105,6.18,K2III,Andromeda,43
106,HD 221776,6.18,K5,Andromeda,43
107,unnamed107,6.19,F6III,Andromeda,43
108,HD 221246,6.19,K5III,Andromeda,43
109,OP And,6.2,K1III:,Andromeda,43
